"filename", "language", "Markdown", "JavaScript", "JavaScript JSX", "CSS", "JSON", "XML", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\lib\utils.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 25, 12, 78
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\models\comments.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\models\orders.js", "JavaScript", 0, 61, 0, 0, 0, 0, 0, 0, 0, 6, 67
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\models\products.js", "JavaScript", 0, 70, 0, 0, 0, 0, 0, 0, 2, 4, 76
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\models\user.js", "JavaScript", 0, 67, 0, 0, 0, 0, 0, 0, 4, 6, 77
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\package-lock.json", "JSON", 0, 0, 0, 0, 1993, 0, 0, 0, 0, 1, 1994
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\package.json", "JSON", 0, 0, 0, 0, 28, 0, 0, 0, 0, 1, 29
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\products_example\ThirdEcommerceWebsite.products.json", "JSON", 0, 0, 0, 0, 413, 0, 0, 0, 0, 0, 413
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\routes\admin.js", "JavaScript", 0, 323, 0, 0, 0, 0, 0, 0, 9, 31, 363
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\routes\fetch_apis.js", "JavaScript", 0, 450, 0, 0, 0, 0, 0, 0, 28, 66, 544
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\routes\handleComments.js", "JavaScript", 0, 309, 0, 0, 0, 0, 0, 0, 0, 31, 340
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\routes\index.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 1, 5, 18
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\routes\stripe_api.cjs", "JavaScript", 0, 167, 0, 0, 0, 0, 0, 0, 1, 17, 185
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\routes\users.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 0, 3, 10, 68
"c:\Users\mineh\OneDrive\Desktop\Coding\Client Projects\ThirdEcommerceWebsite\server\test.cjs", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"Total", "-", 55, 1904, 5843, 73, 8759, 23, 13, 3, 357, 812, 17842
